,CBS,ICR,ICTS,ICTS+ID,XSTAR
WH2_2_1/10.json,"600.000,00000","600.000,00000","600.000,00000","600.000,00000","600.000,00000"
WH2_2_1/11.json,"600.000,00000","600.000,00000","600.000,00000","600.000,00000","600.000,00000"
WH2_2_2/0.json,"21,44140","27,27000","27,52310","49,83040","21,29050"
WH2_2_2/1.json,"0,21632","0,30594","3,17115","0,42026","0,23470"
WH2_2_2/2.json,"342,20100","317,83300","600.000,00000","600.000,00000","309,18500"
WH2_2_2/3.json,"600.000,00000","600.000,00000","600.000,00000","600.000,00000","600.000,00000"
WH2_2_2/4.json,"274,06700","318,59800","848,08000","1.535,34000","423,92500"
WH2_2_2/5.json,"5.453,86000","5.448,49000","5.961,46000","12.071,70000","5.453,86000"
WH2_2_2/6.json,"600.000,00000","600.000,00000","600.000,00000","600.000,00000","600.000,00000"
WH2_2_2/7.json,"600.000,00000","600.000,00000","600.000,00000","600.000,00000","600.000,00000"
WH2_2_2/8.json,"600.000,00000","600.000,00000","600.000,00000","600.000,00000","600.000,00000"
WH2_2_2/9.json,"600.000,00000","600.000,00000","600.000,00000","600.000,00000","600.000,00000"
WH2_2_2/10.json,"600.000,00000","600.000,00000","600.000,00000","600.000,00000","600.000,00000"
WH2_2_2/11.json,"600.000,00000","600.000,00000","600.000,00000","600.000,00000","600.000,00000"
WH12/0.json,"1,83087","1,87053","56,92400","1,77261","1,53955"
WH12/1.json,"341,69300","6,41337","302,51100","607,04400","238,63600"
WH12/2.json,"8,85025","9,17498","1.372,25000","9,00765","9,18191"
WH12/3.json,"3.798,15000","600.000,00000","7.392,02000","14.972,90000","10.736,70000"
WH12/4.json,"3,16233","3,22149","95,21450","3,64789","3,39544"
WH12/5.json,"336,34500","11,54570","368,82600","453,81100","536,34500"
WH12/6.json,"600.000,00000","600.000,00000","600.000,00000","600.000,00000","600.000,00000"
WH12/7.json,"6.871,32000","600.000,00000","10.363,40000","19.851,10000","9.234,24000"
WH12/8.json,"339,57300","10,48600","270,52900","156,76700","540,13200"
WH12/9.json,"600.000,00000","600.000,00000","600.000,00000","600.000,00000","600.000,00000"
WH12/10.json,"600.000,00000","600.000,00000","600.000,00000","600.000,00000","600.000,00000"
WH12/11.json,"600.000,00000","600.000,00000","600.000,00000","600.000,00000","600.000,00000"
