,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TEST FILE,,CBS,,,,,ICR,,,,,ICTS,,,,,ICTS+ID,,,,,X*,,,,,,
,,,Execution time (ms),Longest Path,SIC,Memory Usage,,Execution time (ms),Longest Path,SIC,Memory Usage,,Execution time (ms),Longest Path,SIC,Memory Usage,,Execution time (ms),Longest Path,SIC,Memory Usage,,Execution time (ms),Longest Path,SIC,Memory Usage,,,
,WH2/9.json,,Timeout 10m,Timeout 10m,Timeout 10m,53.0MB,,Timeout 10m,Timeout 10m,Timeout 10m,52.9MB,,Timeout 10m,Timeout 10m,Timeout 10m,45.5MB,,Timeout 10m,Timeout 10m,Timeout 10m,69.9MB,,Timeout 10m,Timeout 10m,Timeout 10m,39.6MB,,,
,WH2/10.json,,Timeout 10m,Timeout 10m,Timeout 10m,58.1MB,,Error,Error,Error,Error,,Timeout 10m,Timeout 10m,Timeout 10m,100.8MB,,Timeout 10m,Timeout 10m,Timeout 10m,90.0MB,,Timeout 10m,Timeout 10m,Timeout 10m,100.5MB,,,
,WH2/11.json,,Timeout 10m,Timeout 10m,Timeout 10m,31.0MB,,Error,Error,Error,Error,,Timeout 10m,Timeout 10m,Timeout 10m,99.4MB,,Timeout 10m,Timeout 10m,Timeout 10m,99.7MB,,Timeout 10m,Timeout 10m,Timeout 10m,35.1MB,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WH2_1/0.json,,171.806,25,40,8.4MB,,22.4418,25,40,0.0MB,,91.7315,25,39,8.2MB,,186.214,25,39,8.7MB,,162.852,25,40,8.2MB,,,
,WH2_1/1.json,,0.970854,45,60,0.0MB,,0.898572,45,60,0.0MB,,35.6031,45,60,0.0MB,,1.65729,45,60,0.0MB,,1.22089,45,60,0.0MB,,,
,WH2_1/2.json,,68.6064,70,136,8.4MB,,Error,Error,Error,Error,,146.068,70,136,8.1MB,,260.43,70,136,8.6MB,,63.3408,70,136,0.0MB,,,
,WH2_1/3.json,,9298.64,154,267,9.4MB,,Error,Error,Error,Error,,2324.75,152,265,22.0MB,,4696.93,152,256,22.5MB,,9258.86,154,267,9.6MB,,,
,WH2_1/4.json,,Timeout 10m,Timeout 10m,Timeout 10m,132.1MB,,Timeout 10m,Timeout 10m,Timeout 10m,131.0MB,,496736,25,79,99.9MB,,Timeout 10m,Timeout 10m,Timeout 10m,81.5MB,,Timeout 10m,Timeout 10m,Timeout 10m,101.2MB,,,
,WH2_1/5.json,,674.486,30,111,8.2MB,,Error,Error,Error,Error,,1920.24,30,111,11.1MB,,1307.28,30,111,13.6MB,,820.839,30,111,122.9MB,,,
,WH2_1/6.json,,Timeout 10m,Timeout 10m,Timeout 10m,87.0MB,,Error,Error,Error,Error,,Segmentation Fault,Segmentation Fault,Segmentation Fault,Segmentation Fault,,Segmentation Fault,Segmentation Fault,Segmentation Fault,Segmentation Fault,,Timeout 10m,Timeout 10m,Timeout 10m,92.6MB,,,
,WH2_1/7.json,,Timeout 10m,Timeout 10m,Timeout 10m,47.3MB,,Error,Error,Error,Error,,Timeout 10m,Timeout 10m,Timeout 10m,164.1MB,,Timeout 10m,Timeout 10m,Timeout 10m,164.0MB,,Timeout 10m,Timeout 10m,Timeout 10m,58.5MB,,,
